==2301== NVPROF is profiling process 2301, command: ../bin/matrix_add.out
==2301== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==2301== Profiling application: ../bin/matrix_add.out
==2301== Profiling result:
==2301== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 960M (0)"
    Kernel: addMatrix(float*, float*, float*, int, int)
          1                 tex0_cache_sector_queries        1536        1536        1536        1536
          1                 tex1_cache_sector_queries        1536        1536        1536        1536
          1                  tex0_cache_sector_misses        1536        1536        1536        1536
          1                  tex1_cache_sector_misses        1536        1536        1536        1536
          1                     fb_subp0_read_sectors           0           0           0           0
          1                     fb_subp1_read_sectors           0           0           0           0
          1                    fb_subp0_write_sectors           0           0           0           0
          1                    fb_subp1_write_sectors           0           0           0           0
          1              l2_subp0_write_sector_misses           0           0           0           0
          1              l2_subp1_write_sector_misses           0           0           0           0
          1              l2_subp2_write_sector_misses           0           0           0           0
          1              l2_subp3_write_sector_misses           0           0           0           0
          1               l2_subp0_read_sector_misses           0           0           0           0
          1               l2_subp1_read_sector_misses           0           0           0           0
          1               l2_subp2_read_sector_misses           0           0           0           0
          1               l2_subp3_read_sector_misses           0           0           0           0
          1          l2_subp0_read_tex_sector_queries         512         512         512         512
          1          l2_subp1_read_tex_sector_queries         512         512         512         512
          1          l2_subp2_read_tex_sector_queries         512         512         512         512
          1          l2_subp3_read_tex_sector_queries         512         512         512         512
          1         l2_subp0_write_tex_sector_queries         256         256         256         256
          1         l2_subp1_write_tex_sector_queries         256         256         256         256
          1         l2_subp2_write_tex_sector_queries         256         256         256         256
          1         l2_subp3_write_tex_sector_queries         256         256         256         256
          1             l2_subp0_read_tex_hit_sectors         512         512         512         512
          1             l2_subp1_read_tex_hit_sectors         512         512         512         512
          1             l2_subp2_read_tex_hit_sectors         512         512         512         512
          1             l2_subp3_read_tex_hit_sectors         512         512         512         512
          1            l2_subp0_write_tex_hit_sectors         256         256         256         256
          1            l2_subp1_write_tex_hit_sectors         256         256         256         256
          1            l2_subp2_write_tex_hit_sectors         256         256         256         256
          1            l2_subp3_write_tex_hit_sectors         256         256         256         256
          1        l2_subp0_total_read_sector_queries         512         512         512         512
          1        l2_subp1_total_read_sector_queries         520         520         520         520
          1        l2_subp2_total_read_sector_queries         520         520         520         520
          1        l2_subp3_total_read_sector_queries         520         520         520         520
          1       l2_subp0_total_write_sector_queries         256         256         256         256
          1       l2_subp1_total_write_sector_queries         257         257         257         257
          1       l2_subp2_total_write_sector_queries         257         257         257         257
          1       l2_subp3_total_write_sector_queries         260         260         260         260
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp2_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp3_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp2_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp3_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm       36150       36150       36150       36150
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit        2048        2048        2048        2048
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit        1024        1024        1024        1024
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched          32          32          32          32
          1                              inst_issued0        9073        9073        9073        9073
          1                              inst_issued1         985         985         985         985
          1                              inst_issued2          64          64          64          64
          1                             inst_executed        1024        1024        1024        1024
          1                      thread_inst_executed       32768       32768       32768       32768
          1   not_predicated_off_thread_inst_executed       31744       31744       31744       31744
          1                               local_store           0           0           0           0
          1                                local_load           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load          64          64          64          64
          1                              global_store          32          32          32          32
          1                          divergent_branch           0           0           0           0
          1                                    branch          64          64          64          64
          1                             active_cycles        2657        2657        2657        2657
          1                              active_warps       58608       58608       58608       58608
          1                               active_ctas        2663        2663        2663        2663
          1                           sm_cta_launched           1           1           1           1
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
